Brix,FS,AFW,JU,FC,RFW,RT,DP,SL,ER,HR,MALO
10.902597,73.19011,252.5811,42.67159,1.14489225,3.231685,5.710066,1230.236818,0.772887949,517.9296024,0,0.00004546541403
9.356408,80.69918,263.6457,52.85815,2.17947913,3.993276,7.782962,957.9843113,0.663278207,252.7316854,0,0.00004546541403
9.268335,73.9263,243.2869,44.84854,3.3226613,3.139139,5.231827,1149.918029,0.657034689,654.0568792,0,0.00004546541403
9.889571,76.91058,217.0129,53.24134,1.85855228,4.121764,6.798309,910.9034791,0.701074271,391.4222563,0,0.00004546541403
8.917613,84.60032,339.4082,47.83689,3.08900395,4.43813,5.701209,1070.41302,0.632171915,714.6020024,0,0.00004546541403
13.696147,72.54171,184.519,48.64974,-0.56806648,3.582606,8.189122,923.0448328,0.970923438,194.648975,0,0.00004546541403
8.172451,83.21946,354.7923,50.34137,3.58115464,4.198941,6.272406,1175.559391,0.579347186,507.694412,0,0.00004546541403
9.99368,76.21337,245.3113,51.46471,1.56309797,3.860338,6.480183,1058.203337,0.708454585,423.2808456,0,0.00004546541403
10.816973,77.34721,199.9755,44.90424,2.00170428,4.02141,6.06748,825.2545026,0.766818041,537.1782114,0,0.00004546541403
9.720153,77.95871,290.8253,52.10092,2.13140481,3.123975,6.80444,1172.150351,0.689064185,295.866285,0,0.00004546541403
9.50554,76.70939,271.3277,48.51938,2.95526384,4.473912,5.755833,1147.872405,0.673850213,700.0482572,0,0.00004546541403
11.834952,79.69936,268.1574,46.14348,2.23892887,3.951211,7.801322,1011.510404,0.838982838,248.3079969,0,0.00004546541403
8.707671,73.53798,215.5215,48.07567,2.32202781,3.426291,5.592355,1034.905231,0.617289071,584.5277636,0,0.00004546541403
11.320884,77.26409,243.8515,48.2517,0.93784777,4.530052,7.773348,1009.572284,0.802540423,287.7689622,0,0.00004546541403
9.025747,74.61023,220.5012,50.64695,1.85217761,3.147395,5.4518,1013.820084,0.639837562,579.5575934,0,0.00004546541403
12.333643,78.26979,268.3132,51.77311,2.12188436,4.984141,7.024661,1068.574,0.874335173,429.0217436,0,0.00004546541403
9.890067,81.02463,265.2887,42.65312,2.35174811,3.293402,7.127462,952.3852304,0.701109433,271.3970414,0,0.00004546541403
8.922911,74.68227,248.1923,53.85514,2.46322269,3.771284,6.055823,1137.839073,0.632547491,506.6812287,0,0.00004546541403
12.161829,72.35692,206.6807,48.40977,0.75722439,3.276561,6.547722,1041.848995,0.862155234,348.2672665,0,0.00004546541403
9.01691,76.13894,258.2986,55.74285,2.53349259,3.948677,6.384607,1117.497713,0.639211105,452.703859,0,0.00004546541403
9.792654,81.9753,289.3043,48.75135,2.80163792,4.059766,5.692856,1002.884489,0.6942038,656.5616354,0,0.00004546541403
11.134449,74.99422,240.4879,41.56362,0.65752264,4.35655,6.656689,1088.817073,0.789323998,440.6897981,0,0.00004546541403
10.58564,79.20056,249.6792,49.88065,2.76571401,3.33626,7.828464,959.7158708,0.750418784,207.48911,0,0.00004546541403
9.776271,73.57378,230.2554,56.88846,2.5172751,4.72992,5.085396,1104.04223,0.693042404,1073.110785,0,0.00004546541403
9.30308,84.54799,319.0178,41.65847,1.90926516,3.347148,7.214156,1007.975841,0.659497771,266.0010945,0,0.00004546541403
10.711429,72.93645,182.1942,50.30117,2.38143519,4.019253,6.11507,896.6970753,0.759335999,524.4524781,0,0.00004546541403
9.924464,71.36901,225.9921,57.05395,1.6673121,3.313717,6.715653,1187.16015,0.703547845,326.4493196,0,0.00004546541403
10.361515,82.10126,286.0163,45.57486,2.60107013,3.963251,6.696244,986.9300831,0.734530504,393.8427569,0,0.00004546541403
11.868016,76.57875,270.8261,43.35827,1.05386371,4.486645,6.264153,1151.624157,0.841326754,544.6277095,0,0.00004546541403
8.998855,68.18353,175.8423,54.93355,2.46894281,3.143706,6.485814,1059.32685,0.637931181,343.806078,0,0.00004546541403
10.69978,91.69641,306.883,47.77365,1.8788668,5.286926,7.110212,760.0827945,0.758510199,438.8546228,0,0.00004546541403
9.308552,76.39656,295.4468,49.00685,2.7508928,3.857746,6.206339,1265.327508,0.659885682,481.4955127,0,0.00004546541403
11.408038,68.00937,205.1283,52.17532,0.95194325,2.860113,6.133424,1245.272493,0.808718793,369.8616672,0,0.00004546541403
10.487097,77.54677,239.1403,49.91409,0.87393192,3.09706,6.58793,979.2795828,0.743433045,323.1973469,0,0.00004546541403
9.790084,84.5136,267.0599,48.06683,3.06481225,4.739158,8.103626,844.8389865,0.694021612,265.7223693,0,0.00004546541403
10.433928,72.5214,259.9428,49.53126,1.74187303,4.223057,4.936575,1301.44052,0.739663881,1047.405428,0,0.00004546541403
9.241182,72.29374,203.879,44.42732,2.10071363,3.079183,6.117324,1030.422862,0.655109805,401.3434193,0,0.00004546541403
9.331531,81.99084,321.9659,54.13296,2.4138475,4.185644,6.820608,1115.472684,0.66151467,393.6027401,0,0.00004546541403
14.00976,71.34878,151.6518,46.28716,-0.46079001,3.749824,6.484902,797.3205997,0.993155545,410.2661896,0,0.00004546541403
6.953241,85.91266,322.8765,52.15121,5.61455347,4.237899,7.040811,972.3217694,0.49291707,362.2827355,0,0.00004546541403
11.320923,67.79439,213.1621,41.2736,0.07074553,3.055042,5.439743,1306.392828,0.802543188,566.3007475,0,0.00004546541403
8.786983,80.61175,274.8142,54.67617,3.8969302,3.568633,6.553458,1001.818832,0.62291152,378.3166205,0,0.00004546541403
12.656013,76.06838,237.0049,45.20408,0.45388144,5.289204,7.503244,1028.229105,0.897188067,373.6011501,0,0.00004546541403
8.068839,82.47929,293.5864,57.73714,3.1085892,3.660315,6.65463,999.1858196,0.572002104,370.6054628,0,0.00004546541403
11.79221,74.79137,234.3776,41.78211,1.8039734,4.671159,6.08344,1069.810132,0.835952847,619.0732789,0,0.00004546541403
10.345647,76.45936,265.3679,55.12988,1.93681685,3.765543,6.968177,1133.708707,0.733405618,332.0742388,0,0.00004546541403
9.230213,77.3505,268.456,44.25164,2.49701839,2.974659,5.95243,1107.716969,0.65433221,420.8423071,0,0.00004546541403
11.183065,74.3953,180.0315,52.2845,1.94431141,4.453136,6.356349,834.943468,0.792770398,517.3778731,0,0.00004546541403
10.078485,84.8238,320.3329,43.1708,1.98519713,3.488805,6.990378,1002.290103,0.714466434,304.7472604,0,0.00004546541403
8.559825,76.44577,278.1626,54.37577,2.42096106,3.971762,6.323076,1189.004309,0.60680823,468.773558,0,0.00004546541403
11.39559,73.94837,218.3992,51.36531,1.47398693,3.558004,6.520416,1031.36003,0.807836351,382.953122,0,0.00004546541403
8.676658,83.04704,278.1761,52.4639,3.56518313,4.126036,5.952315,927.4540681,0.615090552,583.768141,0,0.00004546541403
11.322896,72.49773,222.448,47.11519,1.04400544,3.512675,6.48471,1114.808701,0.802683055,384.3539854,0,0.00004546541403
10.652675,71.60319,195.3541,41.23199,2.27655034,3.932559,5.794081,1016.179635,0.755170913,603.2351728,0,0.00004546541403
12.110923,75.46311,247.3457,51.83131,0.9496293,4.550025,7.340819,1099.120571,0.858546494,343.1984602,0,0.00004546541403
8.954785,85.44188,320.7603,46.5893,2.26024122,3.853578,6.699772,982.0040832,0.634807047,382.33951,0,0.00004546541403
10.524673,70.57871,220.6786,56.46003,1.35301055,3.439726,5.921999,1198.627234,0.746096818,494.1786239,0,0.00004546541403
8.935823,82.22068,255.4276,48.56671,3.44413047,4.161561,7.237768,877.5456134,0.633462826,327.4970455,0,0.00004546541403
10.398809,70.35318,228.6858,42.56239,1.24183714,2.589598,5.16515,1254.102606,0.737174286,560.7233373,0,0.00004546541403
9.216324,86.90697,320.3503,56.61695,3.48906248,5.10044,7.499691,931.9795416,0.653347615,360.7801447,0,0.00004546541403
11.801171,70.44424,229.7486,45.56908,1.09933779,3.596878,5.837009,1255.051304,0.836588094,539.6593605,0,0.00004546541403
9.449926,77.11014,224.1127,48.82936,2.85359619,4.054929,6.871898,933.4199151,0.669907722,372.8363401,0,0.00004546541403
12.211673,81.10617,221.5638,46.47755,0.94594506,3.88841,7.062323,793.0164457,0.865688688,329.3778708,0,0.00004546541403
10.803068,72.39583,243.0004,52.83671,3.01120287,4.375539,6.434592,1222.957609,0.765832312,490.0423465,0,0.00004546541403
8.054976,77.98407,274.2387,51.08642,2.12200307,3.31058,5.524065,1104.221297,0.571019352,585.9935588,0,0.00004546541403
9.741525,80.74382,284.291,52.22821,2.42691026,4.080749,7.387623,1031.288808,0.690579251,301.9887778,0,0.00004546541403
11.675999,76.27644,220.8073,42.6086,0.87963078,4.027257,6.862528,950.1392325,0.827714618,371.8108444,0,0.00004546541403
9.868091,79.09588,290.298,49.95212,2.0813212,3.717599,6.614009,1120.282435,0.699551548,383.3833904,0,0.00004546541403
9.432321,83.25042,272.6368,41.64738,3.61186394,3.703221,6.574855,902.3400749,0.668659699,388.7641306,0,0.00004546541403
13.266278,62.65474,172.6592,57.01423,-0.26681447,4.182466,6.686495,1340.519073,0.940449912,417.4475748,0,0.00004546541403
8.243045,80.58336,265.297,53.0436,3.63507132,3.230227,5.704682,968.1469763,0.584351613,519.163101,0,0.00004546541403
8.983603,81.91695,296.6521,39.79903,2.32810473,3.754088,6.556538,1030.555001,0.636849963,397.4164106,0,0.00004546541403
12.047165,70.89465,205.4111,55.1081,0.90933381,3.821088,6.542553,1100.851123,0.854026673,407.1087033,0,0.00004546541403
10.836301,80.40057,263.0417,49.10054,2.54415176,4.833064,7.05891,966.4787047,0.768188208,409.9913628,0,0.00004546541403
10.290284,78.04457,237.9337,49.32762,1.86222995,4.224926,6.705706,955.8130404,0.72948092,418.0716096,0,0.00004546541403
10.016386,77.75065,268.3842,48.66488,2.18565416,4.342065,6.738558,1090.41026,0.710064219,423.4094082,0,0.00004546541403
9.971167,78.16162,272.3975,46.12918,1.68083575,3.359503,6.833126,1089.350233,0.706858633,314.1823921,0,0.00004546541403
9.490769,81.08415,275.8538,57.21444,3.28800036,3.469591,4.104007,988.1346656,0.672803093,1497.68024,0,0.00004546541403
11.133644,73.73521,244.6139,46.36679,1.06573022,4.735101,9.052912,1165.202579,0.789266931,190.4274037,0,0.00004546541403
10.105983,72.54731,214.6079,44.45344,2.20716838,2.838263,6.025075,1073.314097,0.716415774,387.1955517,0,0.00004546541403
10.097639,81.33117,269.5352,51.58167,1.72648191,4.173193,4.914843,956.730237,0.715824266,1048.828834,0,0.00004546541403
11.039608,71.56727,221.5585,49.75121,2.35783701,4.210144,7.509912,1154.224087,0.782600694,296.5906815,0,0.00004546541403
